"","state","crime","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Andhra Pradesh","RAPE",871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341,1635,1548,1603,1658,1713,1768
"2","Arunachal Pradesh","RAPE",33,38,31,42,35,37,48,42,59,47,42,46,75,60,62,64,66,69
"3","Assam","RAPE",817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716,1937,1990,2075,2160,2245,2330
"4","Bihar","RAPE",888,1040,985,1390,1147,1232,1555,1302,929,795,934,927,1128,1039,1031,1023,1015,1007
"5","Chhattisgarh","RAPE",959,992,898,969,990,995,982,978,976,1012,1053,1034,1380,1149,1168,1187,1206,1225
"6","Goa","RAPE",12,12,31,37,20,21,20,30,47,36,29,55,86,61,65,69,73,77
"7","Gujarat","RAPE",286,267,236,339,324,354,316,374,433,408,439,473,732,574,601,629,656,683
"8","Haryana","RAPE",398,361,353,386,461,608,488,631,603,720,733,668,971,868,911,954,996,1039
"9","Himachal Pradesh","RAPE",124,137,126,153,141,113,159,157,183,160,168,183,250,208,215,222,230,237
"10","Jammu & Kashmir","RAPE",169,192,211,218,201,250,288,219,237,245,277,303,378,330,342,354,366,378
"11","Jharkhand","RAPE",567,797,712,797,753,799,855,791,719,773,784,812,1204,952,975,997,1019,1041
"12","Karnataka","RAPE",293,292,321,291,343,400,436,446,509,586,636,621,1030,808,855,902,949,996
"13","Kerala","RAPE",562,499,394,480,478,601,512,568,568,634,1132,1019,1221,1056,1111,1167,1223,1278
"14","Madhya Pradesh","RAPE",2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425,4335,3695,3778,3862,3945,4029
"15","Maharashtra","RAPE",1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839,3063,2208,2292,2376,2460,2544
"16","Manipur","RAPE",20,14,18,31,25,40,20,38,31,34,53,63,72,63,67,71,75,79
"17","Meghalaya","RAPE",26,38,40,54,63,74,82,88,112,149,130,164,183,182,195,208,221,233
"18","Mizoram","RAPE",52,76,54,20,37,72,83,77,83,92,77,103,89,100,104,108,112,116
"19","Nagaland","RAPE",17,17,14,18,17,23,13,19,22,16,23,21,31,25,25,26,27,28
"20","Odisha","RAPE",790,691,725,770,799,985,939,1113,1023,1025,1112,1458,1832,1519,1591,1662,1733,1804
